person_id,birthdate,school,country,height,weight,season_exp,position,rosterstatus,games_played_current_season_flag
76001,1968-06-24,Duke,USA,6-10,240.0,5,Forward,Inactive,N
76003,1947-04-16,UCLA,USA,7-2,225.0,20,Center,Inactive,N
1505,1974-11-03,San Jose State,France,6-6,235.0,7,Forward-Guard,Inactive,N
949,1976-12-11,California,USA,6-9,245.0,13,Forward,Inactive,N
76005,1954-05-06,Indiana,USA,6-7,220.0,5,Forward,Inactive,N
76006,1932-07-27,Western Kentucky,USA,6-3,180.0,1,Guard,Inactive,N
76007,1919-02-09,Salem,USA,6-3,195.0,2,Forward,Inactive,N
203518,1993-08-01,FC Barcelona,Spain,6-6,200.0,3,Guard,Inactive,N
1630173,1999-09-19,Memphis,Nigeria,6-8,225.0,3,Forward,Active,N
101165,1983-01-21,Pepperdine,USA,6-5,185.0,3,Guard,Inactive,N
76008,1930-09-04,Long Island-Brooklyn,USA,6-0,183.0,1,Guard,Inactive,N
76009,1962-11-15,Oral Roberts,USA,6-11,220.0,6,Center,Inactive,N
76010,1942-01-11,Hillsdale,USA,6-6,210.0,1,Forward,Inactive,N
203112,1990-10-06,Baylor,USA,6-7,240.0,7,Forward,Inactive,N
76011,1954-07-19,Oklahoma,USA,6-9,210.0,13,Center,Inactive,N
76012,1947-11-27,Northwestern,USA,6-7,210.0,7,Forward,Inactive,N
200801,1984-06-20,Arizona,USA,6-4,220.0,2,Forward,Inactive,N
1629121,1996-05-04,St. Bonaventure,USA,6-0,225.0,3,Guard,Inactive,N
203919,1994-07-08,UCLA,USA,6-5,209.0,3,Guard,Inactive,N
149,1963-01-19,Boston College,USA,5-10,165.0,11,Guard,Inactive,N
203500,1993-07-20,Pittsburgh,New Zealand,6-11,265.0,10,Center,Active,N
912,1964-07-22,Syracuse,USA,6-8,241.0,6,Forward,Inactive,N
1628389,1997-07-18,Kentucky,USA,6-9,255.0,6,Center-Forward,Active,N
1629061,1997-02-01,Louisville,South Sudan,6-7,200.0,2,Forward,Inactive,N
76015,1946-06-16,Loyola-Marymount,USA,6-2,175.0,7,Guard,Inactive,N
202399,1986-02-10,Connecticut,USA,Unknown,0.0,6,Unknown,Inactive,N
201167,1985-10-15,UCLA,USA,6-5,210.0,12,Guard,Inactive,N
1630534,2000-04-20,Kansas,USA,6-5,215.0,1,Guard,Active,N
200772,1984-02-09,Michigan State,USA,6-5,202.0,4,Forward-Guard,Inactive,N
76016,1959-12-10,DePaul,USA,6-6,232.0,13,Forward,Inactive,N
201336,1984-05-27,Missouri State,USA,6-2,190.0,4,Guard,Inactive,N
201582,1988-05-06,Hyeres-Toulon,France,7-2,248.0,8,Center,Inactive,N
76018,1944-07-31,Morehead State,USA,6-10,225.0,2,Center,Inactive,N
203006,1986-02-10,California State-Fullerton,USA,5-11,185.0,2,Guard,Inactive,N
1629152,1993-06-05,Illinois State,Trinidad and Tobago,6-6,200.0,2,Guard-Forward,Inactive,N
202374,1988-03-21,Florida State,Nigeria,7-1,252.0,3,Center,Inactive,N
76019,1963-12-11,Duke,USA,6-8,217.0,5,Forward,Inactive,N
76020,1936-10-08,Fresno State,USA,6-9,225.0,2,Center,Inactive,N
