season,player_id,player_name,position,weight,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint
2001,12033,Adam Allenspach,C,259.0,28.5,31.0,11.9,3.4
2001,2240,Gilbert Arenas,SG,199.0,31.5,36.0,,3.25
2001,2220,Brandon Armstrong,SG,188.0,30.0,37.0,10.91,3.2
2001,2203,Shane Battier,SF-PF,229.0,29.5,33.0,10.95,3.3
2001,12034,Cookie Belcher,SG-PG,206.0,35.0,41.5,11.26,2.91
2001,2294,Charlie Bell,PG,200.0,31.5,38.0,10.59,3.12
2001,2257,Ruben Boumtje-Boumtje,C,245.0,26.5,31.0,11.84,3.33
2001,12035,Calvin Bowman,PF,214.0,28.5,34.5,11.96,3.21
2001,2214,Michael Bradley,PF,227.0,27.0,30.0,11.11,3.35
2001,2249,Jamison Brewer,PG,178.0,26.0,32.5,9.65,3.15
2001,2198,Kwame Brown,PF-C,243.0,30.0,33.0,11.59,3.45
2001,12031,SirValiant Brown,PG,176.0,31.0,39.5,11.23,3.0
2001,2245,Damone Brown,SF,202.0,32.0,37.0,11.81,3.27
2001,12032,Ryan Carroll,SF-SG,202.0,34.5,39.0,11.0,3.1
2001,2199,Tyson Chandler,SF-PF,224.0,31.0,33.5,12.13,3.36
2001,2251,Eric Chenowith,C,264.0,23.5,27.5,12.5,3.59
2001,2439,Sam Clancy,PF,242.0,31.0,34.0,11.47,3.13
2001,12036,Gyasi Cline-Heard,PF,231.0,31.5,34.5,11.4,3.23
2001,2215,Jason Collins,PF-C,251.0,25.5,28.5,12.1,3.54
2001,2260,Jarron Collins,C-PF,252.0,23.0,29.0,11.65,3.6
2001,2241,Omar Cook,PG,189.0,31.0,35.5,10.77,3.2
2001,2201,Eddy Curry,C,301.0,28.0,31.0,12.25,3.53
2001,12037,Tate Decker,SF,218.0,25.5,28.5,12.19,3.47
2001,2205,DeSagana Diop,C,314.0,21.5,25.5,12.37,3.56
2001,12038,Robb Dryden,C,241.0,27.0,30.0,12.47,3.46
2001,12039,Anthony Evans,PF,267.0,31.5,33.0,12.56,3.31
2001,2230,Maurice Evans,SG,221.0,34.5,37.5,10.08,3.12
2001,12150,Benjamin Eze,C-PF,232.0,29.0,32.0,13.05,3.36
2001,2386,Kimani Ffriend,C-PF,228.0,32.0,33.0,11.46,3.09
2001,2228,Alton Ford,PF,271.0,34.5,36.5,11.7,3.16
2001,2218,Joseph Forte,SG,193.0,26.5,33.0,11.51,3.19
2001,-1,Jason Gardner,PG,188.0,34.5,40.0,10.88,2.92
2001,12151,Jerry Green,PG-SG,179.0,28.5,35.0,11.7,3.17
2001,12152,Kenny Gregory,SF,200.0,39.5,45.5,11.33,3.1
2001,2204,Eddie Griffin,PF-SF,222.0,26.5,33.0,11.77,3.21
2001,2239,Trenton Hassell,SG-SF,205.0,35.5,37.5,11.57,3.29
2001,2213,Kirk Haston,PF-SF,242.0,27.0,31.5,12.25,3.35
2001,12153,Charles Hathaway,C,274.0,,,,
2001,2217,Brendan Haywood,C,266.0,27.0,28.5,12.87,3.5
2001,12154,Michael Hicks,SG,197.0,33.0,40.5,11.38,3.19
2001,2212,Steven Hunter,C-PF,224.0,30.5,38.5,11.99,3.15
2001,12155,Andre Hutson,PF,244.0,29.0,32.5,11.25,3.3
2001,12156,Nate James,SF,196.0,26.0,31.0,11.42,3.31
2001,2210,Richard Jefferson,SF,223.0,33.0,38.5,11.19,3.15
2001,2798,Horace Jenkins,PG,171.0,34.5,41.0,10.97,3.1
2001,12157,Darrell Johns,C,278.0,23.5,30.0,12.41,3.59
2001,2256,Ken Johnson,C,227.0,32.5,35.0,11.27,3.12
2001,2207,Joe Johnson,SF-SG,226.0,32.5,36.5,12.05,3.4
2001,12158,Darren Kelly,SG-PG,178.0,30.5,34.5,11.38,3.21
2001,2253,Sean Lampley,SF,213.0,36.0,40.0,11.06,3.12
2001,12159,Zach Marbury,PG-SG,183.0,33.0,36.5,11.53,3.1
2001,12160,Mike Mardesich,C-PF,247.0,24.0,30.0,11.65,3.45
2001,12161,DeMarcus Minor,SG,207.0,29.0,41.0,10.57,3.15
2001,200081,Jamario Moon,SF,185.0,33.0,43.0,11.64,3.08
2001,2211,Troy Murphy,PF,230.0,28.5,34.5,11.22,3.43
2001,12162,Troy Ostler,PF-SF,200.0,26.5,29.5,13.42,3.5
2001,40046,Lazaros Papadopoulos,C-PF,227.0,23.0,26.0,12.0,3.7
2001,12164,Rashad Phillips,PG,166.0,27.0,32.0,11.93,3.27
2001,12165,Demetrius Porter,PG,178.0,26.0,31.0,11.5,3.34
2001,12166,Martin Rancik,PF-SF,230.0,32.0,37.0,10.77,3.19
2001,2202,Jason Richardson,SF-SG,213.0,32.5,39.5,11.75,3.12
2001,2369,Norman Richardson,SG,180.0,30.5,35.5,10.97,3.15
2001,2219,Jeryl Sasser,PG-SG,194.0,29.0,34.0,11.47,3.22
2001,12167,Kenny Satterfield,PG,176.0,28.5,33.0,12.05,3.2
2001,2243,Brian Scalabrine,PF-SF,241.0,27.0,30.5,11.75,3.47
2001,12168,Lee Scruggs,PF-SF,209.0,23.5,29.5,13.28,3.55
2001,2250,Bobby Simmons,SF,235.0,27.5,34.0,11.69,3.41
2001,2226,Will Solomon,PG-SG,172.0,28.5,35.0,11.3,3.22
2001,12169,Greg Stevenson,SF,215.0,30.0,35.5,11.29,3.23
2001,12170,Damone Thornton,PF,235.0,33.5,37.5,11.17,3.2
2001,2224,Jamaal Tinsley,PG,199.0,28.0,37.5,11.96,3.2
2001,12171,Tory Walker,SF,187.0,28.0,33.0,11.95,3.25
2001,12172,Souleymane Wane,C,235.0,29.0,30.5,12.02,3.46
2001,2248,Earl Watson,PG,184.0,32.5,37.5,10.97,3.19
2001,2206,Rodney White,SF,243.0,27.5,33.0,12.07,3.47
2001,2254,Loren Woods,C-PF,246.0,24.5,28.0,11.83,3.48
2001,12041,Michael Wright,PF,247.0,27.5,33.5,11.37,3.21
2001,12040,Brent Wright,PF-SF,236.0,23.0,29.0,12.25,3.3
2004,2754,Tony Allen,SG,214.0,31.5,36.5,10.7,3.19
2004,2772,Trevor Ariza,SG-SF,201.0,29.5,32.0,11.63,3.29
2004,2857,Andre Barrett,PG,171.0,29.0,34.5,10.63,3.08
2004,101138,Brandon Bass,PF,246.0,31.5,33.0,11.61,3.24
2004,2740,Andris Biedrins,C,,,,,
2004,2800,Tony Bobbitt,SG,185.0,,,,
2004,12173,Brian Boddicker,SF-PF,230.0,28.0,30.0,10.93,3.25
2004,12174,Tim Bowers,PG-SG,181.0,37.0,43.5,11.24,3.21
2004,2810,Andre Brown,PF-C,236.0,32.0,35.5,11.7,3.22
2004,2766,Antonio Burks,PG,191.0,,,,
2004,2866,Jackie Butler,C,263.0,23.0,25.0,13.32,3.4
2004,12175,Aleksandar Capin,PG,176.0,23.0,29.0,11.5,3.27
2004,12176,Ales Chan,C,255.0,21.0,29.0,12.9,3.62
2004,2735,Josh Childress,SG-SF,196.0,29.0,36.0,11.95,3.38
2004,200555,TJ Cummings,SF,215.0,27.0,31.0,11.58,3.12
2004,2845,Erik Daniels,SF-PF,223.0,31.0,32.0,11.38,3.19
