season_id,season,start_date,end_date,season_type
20171,2017-18,2017-10-17,2018-04-11,Regular
20172,2017-18,2018-04-14,2018-06-08,Playoff
20181,2018-19,2018-10-16,2019-04-10,Regular
20182,2018-19,2019-04-13,2019-06-13,Playoff
20191,2019-20,2019-10-22,2020-03-11,Regular
20192,2019-20,2020-08-17,2020-10-09,Playoff
20201,2020-21,2020-12-22,2021-07-20,Regular
20202,2020-21,2021-05-22,2021-07-20,Playoff
20211,2020-21,2021-10-19,2022-04-10,Regular
20212,2021-22,2022-04-16,2022-06-16,Playoff
20221,2021-22,2022-10-18,2023-04-09,Regular
20222,2022-23,2023-04-15,2023-06-12,Playoff
